ticker,yf_symbol
A1CAP,A1CAP.IS
A1YEN,A1YEN.IS
ACSEL,ACSEL.IS
ADEL,ADEL.IS
ADESE,ADESE.IS
ADGYO,ADGYO.IS
AEFES,AEFES.IS
AFYON,AFYON.IS
AGESA,AGESA.IS
AGHOL,AGHOL.IS
AGROT,AGROT.IS
AHGAZ,AHGAZ.IS
AHSGY,AHSGY.IS
AKBNK,AKBNK.IS
AKCNS,AKCNS.IS
AKENR,AKENR.IS
AKFGY,AKFGY.IS
AKFIS,AKFIS.IS
AKFYE,AKFYE.IS
AKGRT,AKGRT.IS
AKHAN,AKHAN.IS
AKSA,AKSA.IS
AKSEN,AKSEN.IS
AKSGY,AKSGY.IS
AKSUE,AKSUE.IS
ALARK,ALARK.IS
ALBRK,ALBRK.IS
ALCAR,ALCAR.IS
ALCTL,ALCTL.IS
ALFAS,ALFAS.IS
ALGYO,ALGYO.IS
ALKA,ALKA.IS
ALKIM,ALKIM.IS
ALKLC,ALKLC.IS
ALTNY,ALTNY.IS
ALVES,ALVES.IS
ANELE,ANELE.IS
ANGEN,ANGEN.IS
ANHYT,ANHYT.IS
ANSGR,ANSGR.IS
ARASE,ARASE.IS
ARCLK,ARCLK.IS
ARDYZ,ARDYZ.IS
ARENA,ARENA.IS
ARFYE,ARFYE.IS
ARMGD,ARMGD.IS
ARSAN,ARSAN.IS
ARTMS,ARTMS.IS
ARZUM,ARZUM.IS
ASELS,ASELS.IS
ASGYO,ASGYO.IS
ASTOR,ASTOR.IS
ASUZU,ASUZU.IS
ATAKP,ATAKP.IS
ATATP,ATATP.IS
ATATR,ATATR.IS
AVGYO,AVGYO.IS
AVHOL,AVHOL.IS
AVOD,AVOD.IS
AVPGY,AVPGY.IS
AYCES,AYCES.IS
AYDEM,AYDEM.IS
AYEN,AYEN.IS
AYGAZ,AYGAZ.IS
AZTEK,AZTEK.IS
BAGFS,BAGFS.IS
BAHKM,BAHKM.IS
BALSU,BALSU.IS
BANVT,BANVT.IS
BARMA,BARMA.IS
BASGZ,BASGZ.IS
BAYRK,BAYRK.IS
BEGYO,BEGYO.IS
BERA,BERA.IS
BESLR,BESLR.IS
BESTE,BESTE.IS
BEYAZ,BEYAZ.IS
BFREN,BFREN.IS
BIENY,BIENY.IS
BIGCH,BIGCH.IS
BIGEN,BIGEN.IS
BIGTK,BIGTK.IS
BIMAS,BIMAS.IS
BINBN,BINBN.IS
BINHO,BINHO.IS
BIOEN,BIOEN.IS
BJKAS,BJKAS.IS
BLCYT,BLCYT.IS
BLUME,BLUME.IS
BMSCH,BMSCH.IS
BMSTL,BMSTL.IS
BNTAS,BNTAS.IS
BOBET,BOBET.IS
BORLS,BORLS.IS
BORSK,BORSK.IS
BOSSA,BOSSA.IS
BRISA,BRISA.IS
BRKVY,BRKVY.IS
BRLSM,BRLSM.IS
BRSAN,BRSAN.IS
BRYAT,BRYAT.IS
BSOKE,BSOKE.IS
BTCIM,BTCIM.IS
BUCIM,BUCIM.IS
BULGS,BULGS.IS
BURCE,BURCE.IS
BVSAN,BVSAN.IS
CANTE,CANTE.IS
CATES,CATES.IS
CCOLA,CCOLA.IS
CELHA,CELHA.IS
CEMAS,CEMAS.IS
CEMTS,CEMTS.IS
CEMZY,CEMZY.IS
CEOEM,CEOEM.IS
CGCAM,CGCAM.IS
CIMSA,CIMSA.IS
CLEBI,CLEBI.IS
CMBTN,CMBTN.IS
CONSE,CONSE.IS
CRFSA,CRFSA.IS
CVKMD,CVKMD.IS
CWENE,CWENE.IS
DAGI,DAGI.IS
DAPGM,DAPGM.IS
DARDL,DARDL.IS
DCTTR,DCTTR.IS
DENGE,DENGE.IS
DERHL,DERHL.IS
DESA,DESA.IS
DESPC,DESPC.IS
DEVA,DEVA.IS
DGATE,DGATE.IS
DGNMO,DGNMO.IS
DITAS,DITAS.IS
DMRGD,DMRGD.IS
DMSAS,DMSAS.IS
DNISI,DNISI.IS
DOAS,DOAS.IS
DOCO,DOCO.IS
DOFER,DOFER.IS
DOFRB,DOFRB.IS
DOHOL,DOHOL.IS
DOKTA,DOKTA.IS
DSTKF,DSTKF.IS
DUNYH,DUNYH.IS
DURDO,DURDO.IS
DURKN,DURKN.IS
DYOBY,DYOBY.IS
DZGYO,DZGYO.IS
EBEBK,EBEBK.IS
ECILC,ECILC.IS
ECOGR,ECOGR.IS
ECZYT,ECZYT.IS
EDATA,EDATA.IS
EDIP,EDIP.IS
EFOR,EFOR.IS
EGEEN,EGEEN.IS
EGEGY,EGEGY.IS
EGEPO,EGEPO.IS
EGGUB,EGGUB.IS
EGPRO,EGPRO.IS
EKGYO,EKGYO.IS
EKOS,EKOS.IS
EKSUN,EKSUN.IS
ELITE,ELITE.IS
EMKEL,EMKEL.IS
ENDAE,ENDAE.IS
ENERY,ENERY.IS
ENJSA,ENJSA.IS
ENKAI,ENKAI.IS
ENSRI,ENSRI.IS
ENTRA,ENTRA.IS
EPLAS,EPLAS.IS
ERCB,ERCB.IS
EREGL,EREGL.IS
ESCAR,ESCAR.IS
ESCOM,ESCOM.IS
ESEN,ESEN.IS
ETILR,ETILR.IS
EUPWR,EUPWR.IS
EUREN,EUREN.IS
EYGYO,EYGYO.IS
FENER,FENER.IS
FMIZP,FMIZP.IS
FONET,FONET.IS
FORMT,FORMT.IS
FORTE,FORTE.IS
FRIGO,FRIGO.IS
FRMPL,FRMPL.IS
FROTO,FROTO.IS
FZLGY,FZLGY.IS
GARAN,GARAN.IS
GARFA,GARFA.IS
GEDIK,GEDIK.IS
GEDZA,GEDZA.IS
GENIL,GENIL.IS
GENTS,GENTS.IS
GEREL,GEREL.IS
GESAN,GESAN.IS
GIPTA,GIPTA.IS
GLCVY,GLCVY.IS
GLRMK,GLRMK.IS
GLRYH,GLRYH.IS
GLYHO,GLYHO.IS
GMTAS,GMTAS.IS
GOKNR,GOKNR.IS
GOLTS,GOLTS.IS
GOODY,GOODY.IS
GOZDE,GOZDE.IS
GRSEL,GRSEL.IS
GRTHO,GRTHO.IS
GSDHO,GSDHO.IS
GSRAY,GSRAY.IS
GUBRF,GUBRF.IS
GUNDG,GUNDG.IS
GWIND,GWIND.IS
GZNMI,GZNMI.IS
HALKB,HALKB.IS
HATEK,HATEK.IS
HATSN,HATSN.IS
HDFGS,HDFGS.IS
HEDEF,HEDEF.IS
HEKTS,HEKTS.IS
HKTM,HKTM.IS
HLGYO,HLGYO.IS
HOROZ,HOROZ.IS
HRKET,HRKET.IS
HTTBT,HTTBT.IS
HUNER,HUNER.IS
HURGZ,HURGZ.IS
ICBCT,ICBCT.IS
ICUGS,ICUGS.IS
IEYHO,IEYHO.IS
